post,tags
very good,2
I mean really? all these positive reviews for what? our group was bored after the second or third game...,2
Not polite,2
"It's really easy to play, and can be incredibly hilarious. Best played while under the influence of alcohol, in a large group of uncouth rogues.EDIT:I'm changing my review from 4 stars, to 2. I had a lot of fun with this at first, but it lost it's luster for me very quickly.This game is hilarious the first few times you play it, but got old for me real fast. It essentially boils down to whoever gets the nastiest card wins the round, regardless of context.It will always be fun to watch people reading cards for the first time, but I don't think I'll ever voluntarily play this game again.",2
"They are a cheep knock off. The still shuffle ok, but beware of any drink rings. These are like paper towels.",2
Let me say there is nothing whatsoever wrong with this card game -- it's just that I didn't look carefully and purchased it for family get-togethers.  My young-adult kids were hysterical with laughter when they saw it.  It's absolutely filthy dirty stuff -- not family fare.  Great for young adults.  People over 50 looking for fun group games just pass on this one.,2
"I thought it would be fun, but it's a little too gross for me!",2
"Truly a game made for it's shock value.  Definitely an adult's only game which some players enjoyed, myself not included as I found some content disturbing.  Will be reselling this game on Amazon.",2
"I'd liken this game to a teenager learning to drive a car.  Fun for them at first but gets old quickly.  I enjoyed my first time playing Cards Against Humanity but it got old quickly.  The problem with this game is that the dirtiest played card always seems to win no matter what the topic is so the people I've played with ALWAYS play their dirtiest card.  In addition, the game lacks replayability within the same group because their is a limit to the number of cards and topics.  Combine these two elements and you have a board game you can only play a couple of times with any sort of enthusiasm.  If you have the same circle of friends and are looking for a party game, I'd suggest looking at something else.",2
"This product is hilarious and great for parties! I‰Ûªve played Cards Against Humanity with friends and I always wanted to own my own for when I am the host in my own home. The package was delivered in a timely manner. However, some of the cards were damaged within the box and torn on the corners. It was not damaged in shipping as the outside of the box was pristine. I would recommend to anyone buying this product to go in person and buy it in a store to ensure that the product is not damaged.",2
The package arrived timely. However  this card game was more inappropriate than I expected. I was expecting it to be somewhat inappropriate from the reviews I read but it contained much more sexual questions and content that I expected.  I thought I researched enough but it was partly  my fault for not reviewing more information. In the proper setting and group these questions may be funny but not for a family.  I would not let my 17 yr old son play this game and did not want to play with my inlaws or mother!  My 23 yr old son may find it funny with his group of friends.  Just beware it includes alot of sexual content before your purchase.,2
Three generations of Texas women around the kitchen table...only had to hit wiki twice.  Otherwise we were attempting to make our answers make logical and logistics sense.  Not fun if you have these conversations with ease. But we did find the generation gap...come on 20 millennials catch up!! If they were play keys house parties in the 60's.,2
Bought it and played once and never again. Did not like the game.,2
Not as fun as I thought it would be.,2
It was okay box kind of damaged and some cards were missing but overall ok experience,2
"This game is geared more for college aged kids, very sexually oriented.",2
I heard so much good things about this game. But it was missing so many cards the box was basically empty,2
"Played this game for the first time on New Year's.  Some of the cards are extremely inappropriate, I expected that and generally those are the most humorous. We played with 4 people, there seemed to be a lot of dead time. At several points we decided to ditch an agreed amount of cards for fresh ones because they sucked so bad. Also at several points we decided to scrap the round because none of the cards were funny.  Game should come with some blank cards allowing players to create some of their own. 25$ is highway robbery for this glorified set of cards, and honestly I will probably never play again.",2
Wish I had looked at this more closely.  Age advisory says 17+ but I'd say 21+ (or older) is more like it.  Some of the white cards are REALLY off-color.  Seems like this deserves a warning label of some kind.,2
Revived my box and it was literally crushed.,2
This game is definitely not for people under 18 or not even under 21.  A lot of vulgarity.  It should be listed as Adults only.,2
"Loses its appeal quickly. We were neither overly entertained, nor shocked.",2
Don't understand how this has gotten so many 5 star ratings.,2
"Um, not what I thought it was. I'm a little embarrassed that I even purchased it. Rude, graphic, and over-the-toplanguage. I might have thought this was a great game for a frat party, but too many years have passed since then.",2
bought for a kid across the street.....stupid,2
Game is awesome. However. My box came damaged. Totally broken.,2
I wish there was a 2 player version,2
Get the new editions.  These cards are basically rated PG,2
